Incident_ID,Date,Quarter,State,School_Level
20150512FLUNJ,2015-05-12,Spring,Florida,
20150512AZCOT,2015-05-12,Spring,Arizona,High
20150505GACOC,2015-05-05,Spring,Georgia,Middle
20150504OHWIC,2015-05-04,Spring,Ohio,Elementary
20150428MDDRW,2015-04-28,Spring,Maryland,Elementary
20150427WANOL,2015-04-27,Spring,Washington,High
20150422NVRUL,2015-04-22,Spring,Nevada,Elementary
20150417TXSES,2015-04-17,Spring,Texas,High
20150330MOPEU,2015-03-30,Spring,Missouri,Elementary
20150215CATEM,2015-02-15,Winter,California,Middle
20150215ARLAL,2015-02-15,Winter,Arkansas,Elementary
20150204MDFRF,2015-02-04,Winter,Maryland,High
20150126MNHAR,2015-01-26,Winter,Minnesota,Other
20150122SCROH,2015-01-22,Winter,South Carolina,K-12
20150120ALWIM,2015-01-20,Winter,Alabama,High
20150116FLVAO,2015-01-16,Winter,Florida,High
20150115WIWIM,2015-01-15,Winter,Wisconsin,High
20141217MIGOW,2014-12-17,Winter,Michigan,High
20141217MEBEW,2014-12-17,Winter,Maine,Elementary
20141216PASUP,2014-12-16,Winter,Pennsylvania,Elementary
20141212ORROP,2014-12-12,Winter,Oregon,High
20141120FLMIM,2014-11-20,Fall,Florida,High
20141024WAMAM,2014-10-24,Fall,Washington,High
20141024GALAA,2014-10-24,Fall,Georgia,High
20141021TNAMM,2014-10-21,Fall,Tennessee,Middle
20141003GALAF,2014-10-03,Fall,Georgia,High
20140930NCALA,2014-09-30,Fall,North Carolina,High
20140930KYFEL,2014-09-30,Fall,Kentucky,High
20140925NHWEM,2014-09-25,Fall,New Hampshire,High
20140919IANOD,2014-09-19,Fall,Iowa,High
20140911UTWET,2014-09-11,Fall,Utah,Elementary
20140910FLGRL,2014-09-10,Fall,Florida,Middle
20140909FLSTM,2014-09-09,Fall,Florida,High
20140814VASAN,2014-08-14,Summer,Virginia,Elementary
20140813MDHEF,2014-08-13,Summer,Maryland,High
20140623MOKEB,2014-06-23,Summer,Missouri,High
20140610ORRET,2014-06-10,Summer,Oregon,High
20140521WICLM,2014-05-21,Spring,Wisconsin,Elementary
20140514CAJOR,2014-05-14,Spring,California,High
20140503WAHOE,2014-05-03,Spring,Washington,Elementary
20140421UTPRP,2014-04-21,Spring,Utah,High
20140421INSTG,2014-04-21,Spring,Indiana,High
20140411MIEAD,2014-04-11,Spring,Michigan,Unknown
20140410OHLIC,2014-04-10,Spring,Ohio,Elementary
20140409NCDHG,2014-04-09,Spring,North Carolina,High
20140403NJUNN,2014-04-03,Spring,New Jersey,
20140325GABEC,2014-03-25,Spring,Georgia,High
20140312FLACM,2014-03-12,Spring,Florida,Other
20140307LAMAT,2014-03-07,Spring,Louisiana,High
20140220MIRAR,2014-02-20,Winter,Michigan,High
20140211OHCHL,2014-02-11,Winter,Ohio,High
20140210NCSAS,2014-02-10,Winter,North Carolina,High
20140207ORBEB,2014-02-07,Winter,Oregon,High
20140131IANOD,2014-01-31,Winter,Iowa,High
20140131AZCEP,2014-01-31,Winter,Arizona,High
20140128HIPRH,2014-01-28,Winter,Hawaii,High
20140127ILREC,2014-01-27,Winter,Illinois,High
20140117PADEP,2014-01-17,Winter,Pennsylvania,High
20140114PAKIL,2014-01-14,Winter,Pennsylvania,Elementary
20140114NMBER,2014-01-14,Winter,New Mexico,Middle
20140114LASTB,2014-01-14,Winter,Louisiana,High
20140113CTHIN,2014-01-13,Winter,Connecticut,High
20140109TNLIJ,2014-01-09,Winter,Tennessee,High
20131219CAEDF,2013-12-19,Winter,California,High
20131213COARC,2013-12-13,Winter,Colorado,High
20131204FLWEW,2013-12-04,Winter,Florida,High
20131113PABRP,2013-11-13,Fall,Pennsylvania,High
20131103GASTL,2013-11-03,Fall,Georgia,High
20131101IAALA,2013-11-01,Fall,Iowa,High
20131023CANEC,2013-10-23,Fall,California,Elementary
20131021NVSPS,2013-10-21,Fall,Nevada,Middle
20131015TXLAA,2013-10-15,Fall,Texas,High
20131004FLAGP,2013-10-04,Fall,Florida,K-12
20131002NHWIS,2013-10-02,Fall,New Hampshire,
20130928MENEG,2013-09-28,Fall,Maine,High
20130927ILROC,2013-09-27,Fall,Illinois,High
20130830NCCAW,2013-08-30,Summer,North Carolina,High
20130823MSNOS,2013-08-23,Summer,Mississippi,High
20130822TNWEM,2013-08-22,Summer,Tennessee,Elementary
20130820GAROD,2013-08-20,Summer,Georgia,Elementary
20130815TNNOC,2013-08-15,Summer,Tennessee,Middle
20130619FLALW,2013-06-19,Summer,Florida,High
20130618NCHIC,2013-06-18,Summer,North Carolina,Elementary
20130523FLREH,2013-05-23,Spring,Florida,Middle
20130513ALOSB,2013-05-13,Spring,Alabama,Middle
20130430NMTUT,2013-04-30,Spring,New Mexico,Elementary
20130429OHLAC,2013-04-29,Spring,Ohio,High
20130416TXTET,2013-04-16,Spring,Texas,High
20130321MIDAS,2013-03-21,Spring,Michigan,Middle
20130227GAGRA,2013-02-27,Winter,Georgia,High
20130213CAHIS,2013-02-13,Winter,California,Elementary
20130201MIMAD,2013-02-01,Winter,Michigan,High
